epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4727.64,1.26344,0.97681,1.2972,0.8809,0.87481,0.90323,0.53074,1.41904,0.85128,1.27752,0.0011882,0.0011882,0.0011882
43,4796.92,1.24562,0.97767,1.29005,0.8552,0.87935,0.89983,0.54664,1.35815,0.83796,1.23657,0.0011684,0.0011684,0.0011684
44,4845.79,1.24331,0.95227,1.28382,0.86188,0.84946,0.90574,0.52076,1.422,0.85114,1.28023,0.0011486,0.0011486,0.0011486
45,4924.51,1.24857,0.95522,1.28922,0.88607,0.87483,0.91633,0.55189,1.35498,0.83635,1.23002,0.0011288,0.0011288,0.0011288
46,5041.43,1.23844,0.94257,1.26986,0.89841,0.8851,0.92086,0.55355,1.38966,0.80583,1.24687,0.001109,0.001109,0.001109
47,5090.98,1.24046,0.94213,1.27134,0.89151,0.8564,0.90743,0.55487,1.36957,0.8643,1.23485,0.0010892,0.0010892,0.0010892
48,5141.21,1.22566,0.93132,1.27195,0.89026,0.87898,0.91609,0.53693,1.37656,0.82878,1.23707,0.0010694,0.0010694,0.0010694
49,5190.93,1.24461,0.92033,1.28069,0.88218,0.8751,0.91643,0.55893,1.36912,0.80965,1.2364,0.0010496,0.0010496,0.0010496
50,5237.8,1.21762,0.9142,1.26734,0.87992,0.88493,0.91256,0.55147,1.38764,0.81566,1.24451,0.0010298,0.0010298,0.0010298
51,5283.77,1.21106,0.90124,1.26701,0.8857,0.88668,0.9203,0.56379,1.37467,0.80173,1.22854,0.00101,0.00101,0.00101
52,5330.85,1.19995,0.90199,1.25408,0.89441,0.88751,0.92446,0.56836,1.32692,0.79781,1.20954,0.0009902,0.0009902,0.0009902
53,5376.91,1.2155,0.89966,1.26535,0.87563,0.88337,0.91536,0.56367,1.36133,0.79201,1.24383,0.0009704,0.0009704,0.0009704
54,5422.53,1.20278,0.8898,1.26358,0.88313,0.89413,0.91795,0.57092,1.36172,0.77311,1.22864,0.0009506,0.0009506,0.0009506
55,5467.81,1.2138,0.88182,1.2742,0.90301,0.89334,0.93215,0.57543,1.35738,0.76289,1.2289,0.0009308,0.0009308,0.0009308
56,5513.61,1.17608,0.8736,1.2467,0.90943,0.8933,0.93134,0.57635,1.36527,0.76793,1.23061,0.000911,0.000911,0.000911
57,5559.64,1.18812,0.86955,1.25647,0.89871,0.90157,0.93186,0.58034,1.33124,0.7456,1.20829,0.0008912,0.0008912,0.0008912
58,5604.92,1.19614,0.87341,1.24621,0.90961,0.88834,0.93545,0.58417,1.32286,0.77603,1.21038,0.0008714,0.0008714,0.0008714
59,5651,1.1818,0.85886,1.24305,0.9156,0.89731,0.93602,0.59126,1.29237,0.74334,1.18821,0.0008516,0.0008516,0.0008516
60,5697.6,1.17316,0.86751,1.24349,0.91693,0.86737,0.92468,0.585,1.30894,0.75125,1.19395,0.0008318,0.0008318,0.0008318
61,5744.02,1.17131,0.84052,1.23924,0.89498,0.89744,0.93321,0.59128,1.32422,0.72296,1.1949,0.000812,0.000812,0.000812
